11may13,"Workshop now cancelled due to shortage of numbers expressing early interest."
22jun13,"Summer Dance at Sparsholt"
25jun13,"Summer Term Ends"
29jun13,"RSCDS South East Branches Summer Ball<br />
7pm-midnight</p>

<p>The Civic Suite<br />
Wandsworth Town Hall<br />
London SW18 2PU</p>
<p>To celebrate the 90th Anniversary of the Royal Scottish Country Dance Society</p>

<p>Dancing to Ian Muir and the Craigellachie Band<br />
Dress: Formal</p>

<p>Ticket includes buffet supper:<br />
£50 earlybird before 31 Jan 2013<br />
£55 from 1 Feb 2013<br />
<a href=resources/2013-06-29-A4SouthEastBranches2.pdf>Click for Details</a><br />
<a href=application-forms/2013-06-29-Application-Form-R1.pdf>Click for Programme and Application Form</a>"
03sep13,"Autumn Term Starts"
21sep13,"RSCDS Book 47 Workshop.<br /><a href=resources/Book-47-Flyer.doc>Click for flier</a>"
28sep13,"Autumn Ball at Crosfield Hall with George Meikle<br /><a href=resources/Ball-flier.doc>Click for flier</a>"
16nov13,"Evening Ceilidh at the Milner Hall<br /><a href='resources/Flier-Nov-16.pdf'>Click for flier</a>"
01dec13,"St Andrew's Tea Dance at Sparsholt<br /><a href='resources/danceflier-2013-12-01.doc'>Click for flier</a>"
18dec13,"Autumn Term Ends"
